"SeqNo","smpl.loc","seq.rd.cnt","blast_unfilt_class","blast_unfilt_order","blast_unfilt_fam","blast_unfilt_genus","blast_unfilt_genus_species","blast_filt_class","blast_filt_order","blast_filt_fam","blast_filt_genus","blast_filt_genus_species","blast_unfilt_class_ord_fam_gen_spc","blast_filt_class_ord_fam_gen_spc","col_filt_fam","col_unfilt_fam","col_filt_gen_spc","col_unfilt_gen_spc","col_filt_fam_mock","col_filt_gen_spc_mock","col_unfilt_fam_mock","col_unfilt_gen_spc_mock"
"seq268","MST107_MiFiU_tag45",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq268","MST107_MiFiU_tag46",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq268","MST109_MiFiU_tag47",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq268","MST109_MiFiU_tag48",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq268","MST110_MiFiU_tag49",72,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq268","MST110_MiFiU_tag50",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq268","MST221_MiFiU_tag51",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq268","MST221_MiFiU_tag52",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq268","MST235_MiFiU_tag53",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq268","MST235_MiFiU_tag54",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq268","PCMock_MiFiU_tag56",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq268","NC_MiFiU_tag55",1,"Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis","none","none","none","none","none","Acidimicrobiia_Acidimicrobiales_Ilumatobacteraceae_Ilumatobacter nonamiensis","none_none_none_none","#000004FF","#000004FF","#000004","#000004","#8B0000","#8B0000","#8B0000","#8B0000"
"seq171","MST107_MiFiU_tag45",56,"Acidimicrobiia","none","none","none","Acidimicrobidae bacterium YM18-244","none","none","none","none","none","Acidimicrobiia_none_none_Acidimicrobidae bacterium YM18-244","none_none_none_none","#000004FF","#010107FF","#000004","#FEFEFE","#8B0000","#8B0000","#8B0000","#8B0000"
"seq518","MST107_MiFiU_tag45",1,"Acidimicrobiia","none","none","none","Acidimicrobidae bacterium YM18-244","none","none","none","none","none","Acidimicrobiia_none_none_Acidimicrobidae bacterium YM18-244","none_none_none_none","#000004FF","#010107FF","#000004","#FEFEFE","#8B0000","#8B0000","#8B0000","#8B0000"
"seq522","MST107_MiFiU_tag45",1,"Acidimicrobiia","none","none","none","Acidimicrobidae bacterium YM18-244","none","none","none","none","none","Acidimicrobiia_none_none_Acidimicrobidae bacterium YM18-244","none_none_none_none","#000004FF","#010107FF","#000004","#FEFEFE","#8B0000","#8B0000","#8B0000","#8B0000"
